Código ;Nombre;Código ;Nombre;Código ;Nombre;"Tipo";Longitud;Latitud;altitude
05;ANTIOQUIA;05034;ANDES;05034015;LA CHAPARRALA - LA UNIÓN;CP;-75.924471;5.652848;3070.697998046875
05;ANTIOQUIA;05036;ANGELÓPOLIS;05036000;ANGELÓPOLIS;CM;-75.711389;6.109719;3109.5888671875
05;ANTIOQUIA;05036;ANGELÓPOLIS;05036001;LA ESTACIÓN;CP;-75.703416;6.084547;3109.06494140625
05;ANTIOQUIA;05036;ANGELÓPOLIS;05036006;SANTA RITA;CP;-75.709746;6.099417;3109.18505859375
05;ANTIOQUIA;05036;ANGELÓPOLIS;05036011;CIENAGUITA;CP;-75.749118;6.119138;3101.665283203125
05;ANTIOQUIA;05038;ANGOSTURA;05038000;ANGOSTURA;CM;-75.335116;6.885175;3169.109619140625
05;ANTIOQUIA;05038;ANGOSTURA;05038008;LLANOS DE CUIBA;CP;-75.487459;6.812975;3159.2294921875
05;ANTIOQUIA;05040;ANORÍ;05040000;ANORÍ;CM;-75.148355;7.074703;3182
05;ANTIOQUIA;05040;ANORÍ;05040002;LIBERIA;CP;-74.999434;7.381356;3203
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;05042000;SANTA FÉ DE ANTIOQUIA;CM;-75.826648;6.556484;3114.95458984375
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;05042002;LAURELES;CP;-75.947975;6.490919;3104.131591796875
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;05042006;EL PESCADO;CP;-75.91043;6.495648;3112.674560546875
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;05042007;SABANAS;CP;-75.912663;6.460609;3111.21044921875
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;05042008;KILOMETRO 2;CP;-75.846441;6.560421;3117
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;05042009;PASO REAL;CP;-75.819659;6.520831;3113.21826171875
05;ANTIOQUIA;05044;ANZÁ;05044000;ANZÁ;CM;-75.854442;6.302641;3111
05;ANTIOQUIA;05044;ANZÁ;05044001;GUINTAR;CP;-75.956132;6.30209;3096.38232421875
05;ANTIOQUIA;05044;ANZÁ;05044005;LA CEJITA;CP;-75.911027;6.326701;3108.1552734375
05;ANTIOQUIA;05044;ANZÁ;05044006;LA HIGUINA;CP;-75.850989;6.367318;3113.000732421875
05;ANTIOQUIA;05045;APARTADÓ;05045000;APARTADÓ;CM;-76.625135;7.883257;3097.28369140625
05;ANTIOQUIA;05045;APARTADÓ;05045001;SAN JOSÉ DE APARTADÓ;CP;-76.562246;7.883894;3097.977294921875
05;ANTIOQUIA;05045;APARTADÓ;05045002;CHURIDÓ;CP;-76.668837;7.864565;3082.87744140625
05;ANTIOQUIA;05045;APARTADÓ;05045003;ZUNGO CARRETERA;CP;-76.649045;7.823743;3092.904541015625
05;ANTIOQUIA;05045;APARTADÓ;05045009;EL REPOSO;CP;-76.653891;7.799491;3089.693603515625
05;ANTIOQUIA;05045;APARTADÓ;05045010;BAJO DEL OSO;CP;-76.6253;7.910059;3098.568359375
05;ANTIOQUIA;05045;APARTADÓ;05045011;EL SALVADOR;CP;-76.648605;7.878334;3095.8388671875
05;ANTIOQUIA;05045;APARTADÓ;05045014;PUERTO GIRÓN;CP;-76.737183;7.905166;3068.359375
05;ANTIOQUIA;05045;APARTADÓ;05045015;LOMA VERDE;CP;-76.643607;7.823986;3093.577392578125
05;ANTIOQUIA;05045;APARTADÓ;05045016;SAN PABLO;CP;-76.714702;7.897865;3070.50390625
05;ANTIOQUIA;05045;APARTADÓ;05045017;LA ESMERALDA;CP;-76.653995;7.79286;3088.880126953125
05;ANTIOQUIA;05045;APARTADÓ;05045018;SAL SI PUEDES;CP;-76.601415;7.864513;3089.083251953125
05;ANTIOQUIA;05051;ARBOLETES;05051000;ARBOLETES;CM;-76.426708;8.849317;3145
05;ANTIOQUIA;05051;ARBOLETES;05051001;BUENOS AIRES;CP;-76.282648;8.611246;3154.470947265625
05;ANTIOQUIA;05051;ARBOLETES;05051003;EL CARMELO;CP;-76.381608;8.616307;3145.004150390625
05;ANTIOQUIA;05051;ARBOLETES;05051005;LAS NARANJITAS;CP;-76.333453;8.529288;3144.458984375
05;ANTIOQUIA;05051;ARBOLETES;05051008;EL YESO;CP;-76.475696;8.616279;3145.1845703125
05;ANTIOQUIA;05051;ARBOLETES;05051009;LA TRINIDAD;CP;-76.510261;8.625491;3139.29150390625
05;ANTIOQUIA;05051;ARBOLETES;05051010;LAS PLATAS (SANTAFÉ);CP;-76.440354;8.581424;3141.718017578125
05;ANTIOQUIA;05051;ARBOLETES;05051011;LA CANDELARIA;CP;-76.450294;8.657619;3144.254150390625
05;ANTIOQUIA;05051;ARBOLETES;05051014;EL GUADUAL;CP;-76.384497;8.486778;3145
05;ANTIOQUIA;05051;ARBOLETES;05051017; LA ATOYOSA ;CP;-76.423435;8.673426;3142.076416015625
05;ANTIOQUIA;05051;ARBOLETES;05051019; SAN JOSÉ DEL CARMELO ;CP;-76.393931;8.588888;3144.706787109375
05;ANTIOQUIA;05055;ARGELIA;05055000;ARGELIA;CM;-75.141741;5.730672;3118.035888671875
05;ANTIOQUIA;05059;ARMENIA;05059000;ARMENIA;CM;-75.787072;6.155889;3103.397216796875
05;ANTIOQUIA;05059;ARMENIA;05059001;LA HERRADURA;CP;-75.806938;6.146038;3107.306640625
05;ANTIOQUIA;05059;ARMENIA;05059003;EL SOCORRO;CP;-75.785122;6.146176;3102.765625
05;ANTIOQUIA;05059;ARMENIA;05059006;FILO SECO;CP;-75.811939;6.142616;3107.99658203125
05;ANTIOQUIA;05059;ARMENIA;05059009;PALMICHAL;CP;-75.807008;6.159839;3106.979248046875
05;ANTIOQUIA;05079;BARBOSA;05079000;BARBOSA;CM;-75.331627;6.439195;3150.0810546875
05;ANTIOQUIA;05079;BARBOSA;05079001;HATILLO;CP;-75.392108;6.410173;3148.9677734375
05;ANTIOQUIA;05079;BARBOSA;05079005;PLATANITO;CP;-75.406864;6.405181;3147.202392578125
05;ANTIOQUIA;05079;BARBOSA;05079008;ISAZA;CP;-75.362101;6.420168;3149.6953125
05;ANTIOQUIA;05079;BARBOSA;05079014;POPALITO;CP;-75.284275;6.47285;3155.001953125
05;ANTIOQUIA;05079;BARBOSA;05079016;YARUMITO;CP;-75.303734;6.457457;3153.063720703125
05;ANTIOQUIA;05079;BARBOSA;05079017;TABLAZO - HATILLO;CP;-75.413305;6.418865;3147.753662109375
05;ANTIOQUIA;05079;BARBOSA;05079018;EL PARAISO;CP;-75.414866;6.413142;3147.078125
05;ANTIOQUIA;05079;BARBOSA;05079019;EL SALADITO;CP;-75.401845;6.407348;3147.9853515625
05;ANTIOQUIA;05079;BARBOSA;05079020;LOMITA 1;CP;-75.406986;6.41825;3148.33837890625
05;ANTIOQUIA;05079;BARBOSA;05079021;LOMITA 2;CP;-75.407773;6.415728;3147.95703125
05;ANTIOQUIA;05079;BARBOSA;05079022;LA PRIMAVERA;CP;-75.406364;6.413749;3147.822021484375
05;ANTIOQUIA;05079;BARBOSA;05079023;TAMBORCITO;CP;-75.311817;6.451623;3151.96142578125
05;ANTIOQUIA;05086;BELMIRA;05086000;BELMIRA;CM;-75.667779;6.606319;3122.141357421875
05;ANTIOQUIA;05086;BELMIRA;05086001;LABORES;CP;-75.612503;6.709708;3144.20458984375
05;ANTIOQUIA;05086;BELMIRA;05086003;RÍO ARRIBA;CP;-75.671585;6.613094;3122
05;ANTIOQUIA;05088;BELLO;05088000;BELLO;CM;-75.555245;6.333587;3130.76025390625
05;ANTIOQUIA;05088;BELLO;05088008;POTRERITO;CP;-75.579602;6.331692;3128.400390625
05;ANTIOQUIA;05088;BELLO;05088013;SAN FÉLIX;CP;-75.608548;6.340434;3126.4375
05;ANTIOQUIA;05088;BELLO;05088018;EL PINAR;CP;-75.530891;6.301595;3130.676025390625
05;ANTIOQUIA;05088;BELLO;05088020;EL ALBERGUE;CP;-75.536494;6.306904;3130.9541015625
05;ANTIOQUIA;05088;BELLO;05088022;LA CHINA;CP;-75.614714;6.398128;3127.367431640625
05;ANTIOQUIA;05088;BELLO;05088023;LA UNIÓN;CP;-75.621225;6.38243;3126.399169921875
05;ANTIOQUIA;05091;BETANIA;05091000;BETANIA;CM;-75.975655;5.744735;3065.080078125
05;ANTIOQUIA;05091;BETANIA;05091003;SAN LUIS;CP;-75.986423;5.7535;3064.759765625
05;ANTIOQUIA;05093;BETULIA;05093000;BETULIA;CM;-75.984452;6.115208;3076.239013671875
05;ANTIOQUIA;05093;BETULIA;05093001;ALTAMIRA;CP;-75.949285;6.21962;3093.511474609375
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;05101000;CIUDAD BOLÍVAR;CM;-76.021509;5.850273;3066.110595703125
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;05101002;SAN BERNARDO DE LOS FARALLONES;CP;-76.029314;5.799984;3065.08642578125
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;05101006;ALFONSO LÓPEZ (SAN GREGORIO);CP;-75.957061;5.895614;3078.97314453125
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;05101008;VILLA ALEGRÍA;CP;-76.01367;5.783321;3064.0302734375
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;05101010;EL CABRERO - BOLÍVAR ARRIBA;CP;-76.035653;5.865983;3068.57080078125
05;ANTIOQUIA;05107;BRICEÑO;05107000;BRICEÑO;CM;-75.54813;7.114883;3166
05;ANTIOQUIA;05107;BRICEÑO;05107001;BERLÍN (PUEBLO NUEVO);CP;-75.625932;7.10759;3160.594482421875
05;ANTIOQUIA;05107;BRICEÑO;05107002;EL ROBLAL;CP;-75.586775;7.137653;3163.395751953125
05;ANTIOQUIA;05107;BRICEÑO;05107003;LAS AURAS;CP;-75.51501;7.193361;3165
05;ANTIOQUIA;05107;BRICEÑO;05107004;TRAVESIAS;CP;-75.57177;7.133972;3164
05;ANTIOQUIA;05113;BURITICÁ;05113000;BURITICÁ;CM;-75.907496;6.71973;3125.03955078125
05;ANTIOQUIA;05113;BURITICÁ;05113001;EL NARANJO;CP;-75.897525;6.69307;3122.093994140625
05;ANTIOQUIA;05113;BURITICÁ;05113002;GUARCO;CP;-75.941921;6.727579;3125.726318359375
05;ANTIOQUIA;05113;BURITICÁ;05113003;TABACAL;CP;-75.91451;6.805923;3131.77099609375
05;ANTIOQUIA;05113;BURITICÁ;05113004;LLANOS DE URARCO;CP;-75.916915;6.910451;3137.081298828125
05;ANTIOQUIA;05113;BURITICÁ;05113005;LA ANGELINA;CP;-75.847818;6.694226;3118.01123046875
05;ANTIOQUIA;05113;BURITICÁ;05113008;LA MARIELA;CP;-75.906473;6.72694;3125.396240234375
05;ANTIOQUIA;05120;CÁCERES;05120000;CÁCERES;CM;-75.35205;7.578366;3192
05;ANTIOQUIA;05120;CÁCERES;05120002;EL JARDÍN (TAMANÁ);CP;-75.253751;7.754663;3204.108642578125
05;ANTIOQUIA;05120;CÁCERES;05120003;GUARUMO;CP;-75.208141;7.854018;3211.23388671875
05;ANTIOQUIA;05120;CÁCERES;05120004;MANIZALES;CP;-75.414361;7.836838;3201.46826171875
05;ANTIOQUIA;05120;CÁCERES;05120006;PUERTO BÉLGICA;CP;-75.28467;7.665082;3200.53955078125
05;ANTIOQUIA;05120;CÁCERES;05120010;PIAMONTE;CP;-75.205584;7.782877;3208.98388671875
05;ANTIOQUIA;05120;CÁCERES;05120012;RÍO MAN;CP;-75.208103;7.94445;3214.927490234375
05;ANTIOQUIA;05120;CÁCERES;05120013;LAS PAMPAS;CP;-75.272833;7.715215;3202.021484375
05;ANTIOQUIA;05120;CÁCERES;05120014;NICARAGUA;CP;-75.384177;7.734309;3197
05;ANTIOQUIA;05120;CÁCERES;05120015;PUERTO SANTO;CP;-75.205779;7.797729;3209.622802734375
05;ANTIOQUIA;05125;CAICEDO;05125000;CAICEDO;CM;-75.98293;6.405607;3090.307373046875
05;ANTIOQUIA;05129;CALDAS;05129000;CALDAS;CM;-75.633619;6.091296;3115.8232421875
05;ANTIOQUIA;05129;CALDAS;05129001;EL CAÑO;CP;-75.640529;6.107706;3115.746337890625
05;ANTIOQUIA;05129;CALDAS;05129002;LA RAYA;CP;-75.640823;6.111302;3115.716552734375
05;ANTIOQUIA;05129;CALDAS;05129004;LA MIEL;CP;-75.622237;6.102587;3117.357177734375
05;ANTIOQUIA;05129;CALDAS;05129005;LA CORRALITA;CP;-75.620937;6.088335;3116.562744140625
05;ANTIOQUIA;05129;CALDAS;05129006;LA PRIMAVERA SANTA CRUZ;CP;-75.637212;6.067774;3113.66796875
05;ANTIOQUIA;05129;CALDAS;05129007;EL RAIZAL;CP;-75.645153;6.087699;3113.785400390625
05;ANTIOQUIA;05129;CALDAS;05129008;LA CLARA;CP;-75.619807;6.048023;3113.008544921875
05;ANTIOQUIA;05129;CALDAS;05129009;LA QUIEBRA;CP;-75.64824;6.059994;3111.64208984375
05;ANTIOQUIA;05129;CALDAS;05129010;LA SALADA PARTE BAJA;CP;-75.624602;6.049949;3113.044189453125
05;ANTIOQUIA;05129;CALDAS;05129011;LA TOLVA;CP;-75.637958;6.059361;3113.091064453125
05;ANTIOQUIA;05129;CALDAS;05129012;LA VALERIA;CP;-75.647988;6.093382;3113.66357421875
05;ANTIOQUIA;05129;CALDAS;05129013;LA AGUACATALA;CP;-75.643154;6.103494;3115.08837890625
05;ANTIOQUIA;05129;CALDAS;05129015;LA CHUSCALA;CP;-75.639579;6.082884;3114.41162109375
05;ANTIOQUIA;05129;CALDAS;05129016;SALINAS;CP;-75.660185;6.055835;3109.614501953125
05;ANTIOQUIA;05134;CAMPAMENTO;05134000;CAMPAMENTO;CM;-75.298091;6.979771;3178.045654296875
05;ANTIOQUIA;05134;CAMPAMENTO;05134002;LA SOLITA;CP;-75.277262;7.058525;3184.31787109375
05;ANTIOQUIA;05134;CAMPAMENTO;05134003;LLANADAS;CP;-75.272488;7.039327;3184.05029296875
05;ANTIOQUIA;05138;CAÑASGORDAS;05138000;CAÑASGORDAS;CM;-76.03221;6.759478;3114.01708984375
05;ANTIOQUIA;05138;CAÑASGORDAS;05138001;BUENOS AIRES - PARTE ALTA;CP;-76.009653;6.726196;3114.948974609375
05;ANTIOQUIA;05138;CAÑASGORDAS;05138002;CESTILLAL;CP;-76.073632;6.853162;3104.625244140625
05;ANTIOQUIA;05138;CAÑASGORDAS;05138003;JUNTAS DE URAMITA;CP;-76.031369;6.921305;3125.731201171875
05;ANTIOQUIA;05138;CAÑASGORDAS;05138005;SAN PASCUAL;CP;-76.04742;6.846649;3113.2236328125
05;ANTIOQUIA;05138;CAÑASGORDAS;05138009;VILLA VICTORIA;CP;-76.028145;6.926134;3127.510498046875
05;ANTIOQUIA;05142;CARACOLÍ;05142000;CARACOLÍ;CM;-74.757421;6.409829;3132.06689453125
05;ANTIOQUIA;05145;CARAMANTA;05145000;CARAMANTA;CM;-75.643868;5.54853;3082
05;ANTIOQUIA;05145;CARAMANTA;05145001;ALEGRÍAS;CP;-75.607312;5.54632;3083.6376953125
05;ANTIOQUIA;05145;CARAMANTA;05145002;SUCRE;CP;-75.606616;5.579788;3085.007568359375
05;ANTIOQUIA;05145;CARAMANTA;05145003;BARRO BLANCO;CP;-75.591958;5.537736;3084.9638671875
05;ANTIOQUIA;05145;CARAMANTA;05145005;AGUADITA GRANDE;CP;-75.607661;5.571608;3084.4921875
05;ANTIOQUIA;05145;CARAMANTA;05145006;SAN ANTONIO;CP;-75.672572;5.581372;3081.27099609375
05;ANTIOQUIA;05147;CAREPA;05147000;CAREPA;CM;-76.652822;7.755199;3082.508056640625
05;ANTIOQUIA;05147;CAREPA;05147003;PIEDRAS BLANCAS;CP;-76.556229;7.74578;3087.6328125
05;ANTIOQUIA;05147;CAREPA;05147004;ZUNGO EMBARCADERO - PUEBLO NUEVO;CP;-76.739217;7.847152;3064.803955078125
05;ANTIOQUIA;05147;CAREPA;05147005;ZUNGO EMBARCADERO - 11 DE NOVIEMBRE;CP;-76.734493;7.846814;3065.59521484375
05;ANTIOQUIA;05147;CAREPA;05147006;CASA VERDE;CP;-76.654282;7.788421;3088.30078125
05;ANTIOQUIA;05147;CAREPA;05147007;EL ENCANTO;CP;-76.710889;7.748938;3066.10498046875
05;ANTIOQUIA;05147;CAREPA;05147008;ZUNGO EMBARCADERO - 28 DE OCTUBRE;CP;-76.742764;7.850593;3064.201171875
05;ANTIOQUIA;05147;CAREPA;05147009;BELENCITO;CP;-76.508207;7.801248;3107.3330078125
05;ANTIOQUIA;05147;CAREPA;05147010;BOSQUES DE LOS ALMENDROS;CP;-76.649682;7.789198;3088.74169921875
05;ANTIOQUIA;05147;CAREPA;05147011;CAREPITA CANALUNO;CP;-76.754285;7.831245;3060.098876953125
